A	178
A-dur	15
A-train	15
ADN	15
Aaron	48
Aarons	15
Abel	35
Abels	15
Abigail	27
Abigails	15
Abraham	83
Abrahama	15
Abrahamas	15
Abrahams	15
Abruzzas	45
Absalom	35
Absaloma	15
Absalomas	15
Absaloms	15
Achermann	48
Ackermann	53
AdC	15
Adam	79
Adams	48
Adelaida	15
Adelaidas	15
Adelheid	40
Adelina	76
Adelinas	15
Adisch	27
Adischs	15
Adobe	15
Adom	35
Adoms	15
Adrian	102
Aduolf	15
Aduolfa	15
Aduolfas	15
Aduolfs	15
Advent	58
Advents	15
Aebi	45
Aebischer	48
Aeschlimann	15
Affolter	48
Afgan	15
Afgana	15
Afganas	15
Afganistan	15
Afganistans	15
Afgans	35
Africa	95
African	40
Africana	15
Africanas	15
Africans	45
Africansa	15
Africansas	15
Agnes	73
Ahab	27
Ahabs	15
Aita	95
Aitas	15
Alain	53
Alasca	40
Albanais	48
Albanaisa	15
Albanaisas	15
Albania	35
Albert	111
Albert-Bass	15
Albert-Peter	27
Alberta	56
Albertas	15
Albin	96
Albin-Grünenfelder	35
Albina	35
Albinas	15
Albrecht	91
Alesch	96
Aleschs	15
Alessandro	40
Alessia	51
Alessio	15
Alexander	104
Alexanders	15
Alexandra	87
Alexandras	15
Alexandre	51
Alexi	64
Alfons	100
Alfred	98
Alfreds	15
Algeria	35
Algerian	15
Algeriana	15
Algerianas	15
Algerians	15
Algerias	15
Alibaba	15
Alice	82
Aliesch	99
Alig	83
Alina	35
Aline	48
Allemann	58
Almen	27
Almens	27
Alois	91
Alpinum	105
Alpsu	56
Alpsus	15
Alsazia	35
Alvagni	69
Alvagni-bogn	15
Alvaschagn	48
Alvaschein	15
Alvra	91
Amalia	79
Amalias	15
Ambriesch	27
Ambrieschs	15
Ambrosi	56
Ambrosits	15
Ambühl	68
America	107
American	70
Americana	15
Americanas	15
Americans	78
Amisonch	15
Ammann	79
Ammann-Küng	27
Amos	15
Amstutz	40
Ana	35
Analia	15
Analias	15
Anastaschia	15
Anastaschias	15
Andalus	27
Andalusa	15
Andalusas	15
Andalusia	45
Andalusias	15
Andeer	93
Andiast	73
Andorra	45
Andorran	27
Andorrana	15
Andorranas	15
Andorrans	27
Andorras	15
Andrea	138
Andreas	118
Andreia	35
Andreias	15
Andri	142
Andrietta	27
Andriettas	15
Andrin	71
Andris	72
Andry	121
André	83
Angel	48
Angela	85
Angelas	15
Angelica	98
Angelina	64
Angelinas	15
Angelini	40
Angelini-Luzi	15
Angelo	103
Angels	27
Angiolina	15
Angiolinas	15
Anita	109
Anitas	15
Anja	69
Anna	129
Anna-Alice	56
Anna-Barbla	15
Anna-Katharina	35
Anna-Maria	59
Anna-Regula	15
Anna-Tina	40
Anna-Ursula	15
Annafila	15
Annafilas	15
Annamengia	27
Annamengias	15
Annapitschna	15
Annapitschnas	15
Annas	15
Annatina	84
Annatinas	15
Anne	72
Anne-Frank	15
Anne-Marie	27
Annemarie	84
Annetta	103
Annettas	15
Annigna	15
Annignas	15
Annina	105
Anninas	15
Annuotta	15
Annuottas	15
Ans	92
Anselm	48
Anselms	15
Antarctica	27
Antillas	15
Antoine	53
Anton	111
Antonella	83
Antonellas	15
Antonetta	48
Antonettas	15
Antonia	69
Antonin	71
Antonins	15
Antonio	83
Appenzell	79
Appenzellais	45
Appenzellaisa	15
Appenzellaisas	15
Appenzells	15
Apple	45
Ara	15
Arab	35
Araba	15
Arabas	15
Arabs	53
Arctica	27
Ardez	146
Ardez-Ftan	27
Ardez-Guarda	15
Ardez-Guarda-Lavin-Susch	35
Ardez-Zernez	15
Argentin	15
Argentina	40
Argentinas	15
Argentinia	64
Argentins	45
Argovia	83
Argovias	15
Armin	97
Armon	118
Armons	15
Arno	116
Arnold	107
Arnolds	15
Arpagaus	84
Arquint	126
Arquint-Bonorand	15
Arthur	89
Artur	75
Arturs	15
Arx	56
Ascensiun	58
Ascensiuns	15
Aschera	100
Aschera-Tarasp	15
Asia	77
Asiat	15
Asiata	15
Asiatas	15
Asiats	15
Astrid	59
Atlantic	53
Atlas	45
August	75
Augustin	103
Augusts	15
Aurelia	15
Ausserferrera	15
Australia	82
Australian	27
Australiana	15
Australianas	15
Australians	45
Australias	15
Austria	122
Austriac	56
Austriaca	48
Austriacas	40
Austriacs	89
Avellin	15
Avras	71
BMW	51
Babania	80
Babetta	15
Babettas	15
Babilonia	45
Babina	40
Babinas	15
Bachmann	101
Bader	27
Badilatti	100
Bahamas	40
Bahrain	15
Balcan	73
Balcanais	15
Balcanaisa	15
Balcanaisas	15
Baldina	27
Baldinas	15
Baldirun	72
Balearas	15
Bali	53
Balinais	15
Balinaisa	15
Balinaisas	15
Balmer	61
Balser	93
Balsers	15
Balticum	40
Baltisar	53
Baltisars	15
Baltramieu	27
Baltramieus	15
Balzer	74
Balzer-Bergamin	15
Balzer-Graf	27
Banca	124
Bancas	78
Bandet	27
Bandets	15
Bangladesch	15
Barandun	69
Barbara	115
Barbla	94
Barblas	15
Barbletta	15
Barblettas	15
Barblina	61
Barblinas	15
Barbluotta	15
Barbluottas	15
Bardill	102
Bardot	48
Bardots	15
Barduot	45
Barduots	15
Bargunzegner	15
Bargunzegners	53
Bargunzegnra	15
Bargunzegnras	15
Barnaba	15
Barnabas	15
Barnard	45
Barnards	15
Bartolomes	15
Bartolomè	15
Basc	27
Basca	15
Bascas	15
Bascs	48
Basilaisas	15
Basilea	124
Basilea-Pajais	15
Bass	101
Bass-Pitsch	27
Bassa	179
Bassa-Val	51
Bastian	78
Bastians	15
Bastiaun	63
Battaglia	75
Battista	79
Battistas	15
Baumann	103
Baumann-Filli	15
Baumann-Hendry	15
Baumann-Schmidt	15
Baumgartner	101
Baur	35
Baviera	93
Bavierais	15
Bavieraisa	15
Bavieraisas	15
Bearth	71
Bearth-Bischof	15
Bearth-Stecher	27
Beat	113
Beata	40
Beatas	15
Beatrice	74
Beatrix	35
Beats	48
Beck	48
Beda	68
Bedas	15
Beeli	73
Beer	64
Beiva	79
Belarus	15
Belaruss	15
Belarussa	15
Belarussas	15
Belarussia	15
Belg	15
Belgia	87
Belgias	15
Belgs	27
Benderer	100
Benedict	98
Benedicts	15
Bengiamin	15
Bengiamins	15
Benjamin	94
Benz	58
Benz-Parolini	15
Beppin	15
Beppina	15
Beppinas	15
Beppins	15
Bergamasc	45
Bergamasca	15
Bergamascas	15
Bergamascs	15
Bergamin	61
Bergamo	58
Berger	73
Bergiaglia	121
Bergiaglias	15
Bergiagliot	40
Bergiagliots	51
Bergiagliotta	15
Bergiagliottas	15
Bergün	35
Berlin	107
Berna	138
Bernadette	56
Bernais	71
Bernaisa	53
Bernaisas	15
Bernard	103
Bernasconi	45
Bernhard	100
Berther	84
Bertogg	58
Betania	15
Betlehem	85
Betschart	45
Betta	88
Bettas	15
Bettina	97
Bettinas	15
Bever	126
Beverin	74
Bevrot	15
Bevrots	15
Bevrotta	15
Bevrottas	15
Beyeler	45
Bezzola	145
Bezzola-Campell	27
Bezzola-Denoth	53
Bezzola-Flückiger	15
Bezzola-Wagner	15
Bianchi	35
Bibla	119
Biblas	71
Bienna	74
Bieri	51
Bigler	58
Bigna	58
Bignas	15
Bina	27
Binas	15
Bircher	51
Birrer	51
Bischof	40
Bischoff	125
Bischoff-Denoth	15
Bischoff-Stecher	15
Bislin	15
Bivio	58
Blanc	63
Blaser	77
Blaunca	40
Blauncha	15
Blum	64
Blumenthal	73
Boemia	71
Bolivia	48
Bolliger	40
Bolliger-Schmid	15
Bonaduz	53
Bonaventura	15
Bonaventuras	15
Bonorand	56
Bos-cha	93
Boscha	15
Boschas	15
Bosnia	48
Bosniac	15
Bosniaca	15
Bosniacas	15
Bosniacs	15
Bossart	15
Bosshard	75
Bosshard-Camenisch	15
Bosshard-Zimmermann	35
Bott	115
Bott-Pitsch	35
Braglioccal	15
Braglioccals	15
Bragliocla	15
Braglioclas	15
Braida	65
Braidas	15
Brail	115
Brail-Cinuos-chel	15
Brand	45
Brasilia	85
Brasilian	27
Brasiliana	15
Brasilianas	15
Brasilians	45
Brasser	15
Braun	59
Bravuogn	111
Breil	101
Breil-Vuorz-Andiast	40
Brema	27
Brenn	27
Brenn-Demarmels	27
Bretagna	65
Brienz	64
Brigels	35
Brigitta	89
Brigittas	15
Brigitte	97
Brinzauls	51
Brit	35
Brita	15
Britas	15
Brits	15
Brosi	113
Brun	59
Brunner	99
Brunner-Thöny	15
Brunner-Weber	15
Bruno	111
Brunold	100
Brunold-Bigler	15
Brägger	40
Brüesch	65
Brügger	78
Brüsch	53
Buaira	40
Bucher	71
Buchli	117
Buddha	40
Buddhas	15
Bulgar	15
Bulgara	15
Bulgaras	15
Bulgaria	70
Bulgars	15
Bulsan	88
Bulsan-Tirol	27
Bundi	106
Buolf	69
Buolfs	15
Buond	40
Buorm	91
Burga	53
Burgas	15
Burgogna	35
Burkhalter	45
Burri	27
Burtel	89
Burtels	15
Buser	35
Butan	15
Butanais	15
Butanaisa	15
Butanaisas	15
Butans	15
Bärtsch	83
Bärtschi	53
Bös-chin	15
Bösch	79
Bühler	118
Bühler-Bundi	27
Bühler-Flury	59
Bühlmann	59
Büman	113
Bümans	15
Bürgi	53
Bürki	40
CEO	64
CERN	15
CH	77
CHF	27
Cabalzar	79
Cadalbert	35
Caderas	51
Caderas-Hendry	15
Cadonau	95
Cadosch	61
Cadruvi	93
Caduff	99
Caduff-Collenberg	27
Caflisch	93
Caflisch-Eggenberger	27
Cain	15
Cains	15
Cajacob	56
Cajochen	40
Calabria	40
Calantgil	35
California	79
Caluori	92
Camathias	59
Camenisch	101
Camichel	96
Caminada	92
Camischolas	27
Campell	115
Campell-Christen	27
Camuns	40
Canaan	15
Canada	98
Canadian	15
Canadiana	15
Canadianas	15
Canadians	15
Canarias	27
Candinas	78
Candreia	61
Candrian	61
Cantieni	107
Cantieni-Luzi	15
Cantieni-Steiner	15
Capaul	84
Capeder	69
Caplazi	51
Caprez	93
Caprez-Vital	15
Caratsch	101
